reference_no,company_name,job_title,min_experience,avg_salary,min_salary,max_salary,num_of_jobs
8053,Meesho,Senior Business Analyst,2,19.3L,16.0L,23.0L,32
8227,Gartner,Senior Business Analyst,2,18.7L,12.5L,24.0L,32
4919,LearningMate Solutions,Senior Business Analyst,3,10.5L,6.4L,14.0L,31
8784,R1 RCM,Senior Business Analyst,2,4.3L,3.5L,5.9L,31
1596,Sopra Steria,Senior Business Analyst,3,14.6L,10.0L,18.5L,31
2028,Fiserv,Senior Business Analyst,8,18.0L,11.0L,29.8L,31
1514,Harman Connected Services,Senior Business Analyst,3,12.3L,6.6L,20.0L,31
4027,Principal Global Services,Senior Business Analyst,4,13.3L,5.8L,17.5L,31
6835,Danske IT,Senior Business Analyst,7,18.7L,14.3L,24.1L,31
5675,Amdocs,Senior Business Analyst,6,17.6L,11.1L,24.9L,31
8110,Allscripts,Senior Business Analyst,5,13.9L,11.0L,17.7L,30
7386,Collabera Technologies,Senior Business Analyst,4,11.7L,8.0L,20.0L,30
7112,Swiggy,Senior Business Analyst,2,18.4L,13.8L,22.0L,30
8914,Birlasoft,Senior Business Analyst,3,9.8L,6.0L,19.0L,29
1333,ValueLabs,Senior Business Analyst,6,14.9L,10.0L,20.0L,29
6451,Orange Business Services,Senior Business Analyst,5,12.8L,7.0L,20.0L,28
1417,Maersk,Senior Business Analyst,6,10.9L,5.0L,23.0L,28
7979,Gartner India Research and Advisory Services,Senior Business Analyst,3,20.4L,13.8L,26.0L,28
1282,First Source,Senior Business Analyst,2,5.1L,3.4L,6.6L,27
3226,Barclays Shared Services,Senior Business Analyst,2,7.1L,4.0L,14.0L,27
3033,ICICI Bank,Senior Business Analyst,5,12.3L,5.3L,21.0L,27
4774,CES,Senior Business Analyst,5,7.4L,5.2L,9.5L,27
2098,Mercer,Senior Business Analyst,2,5.5L,2.8L,17.0L,27
8736,NatWest Markets,Senior Business Analyst,5,13.4L,5.0L,22.0L,27
8335,Xoriant,Senior Business Analyst,6,17.5L,11.5L,21.7L,27
5735,PwC,Senior Business Analyst,4,12.6L,6.0L,22.0L,27
6311,Statestreet HCL Services,Senior Business Analyst,1,3.0L,2.4L,3.6L,27
3786,First American Corporation,Senior Business Analyst,5,13.4L,5.9L,18.5L,26
3274,MindGate Solutions,Senior Business Analyst,5,12.5L,8.0L,18.0L,26
2422,Mindtree,Senior Business Analyst,4,16.9L,12.0L,22.0L,25
1590,TEKsystems,Senior Business Analyst,5,15.6L,11.7L,20.5L,25
5347,Decision Point,Senior Business Analyst,1,11.8L,10.0L,16.0L,24
5252,Thomson Reuters,Senior Business Analyst,4,11.7L,5.0L,19.5L,24
2685,Eurofins It Solutions,Senior Business Analyst,7,22.0L,16.0L,24.8L,24
4404,Capco Technologies,Senior Business Analyst,7,18.2L,15.0L,20.2L,24
8792,Hsbc Technology,Senior Business Analyst,6,18.7L,13.0L,25.0L,24
2962,S&P Global,Senior Business Analyst,5,13.7L,9.0L,20.0L,24
5537,General Mills,Senior Business Analyst,4,13.4L,11.0L,16.0L,23
5757,Intellect Design Arena,Senior Business Analyst,6,17.2L,11.7L,22.5L,23
4924,Dell EMC,Senior Business Analyst,3,10.5L,8.5L,13.0L,23
5818,Ebix Software India,Senior Business Analyst,4,9.8L,6.5L,13.5L,23
3649,Northern Trust Operating Services,Senior Business Analyst,3,6.2L,4.9L,9.5L,23
4989,IVY Comptech,Senior Business Analyst,7,20.7L,16.2L,25.0L,23
1799,Atos Syntel,Senior Business Analyst,6,13.8L,7.0L,22.8L,23
6750,Provana,Senior Business Analyst,1,7.9L,5.5L,11.5L,23
5492,Coforge,Senior Business Analyst,6,17.1L,11.2L,23.0L,23
5608,HDFC Bank,Senior Business Analyst,4,13.2L,7.1L,20.0L,22
5791,Commonwealth Bank of Australia,Senior Business Analyst,5,28.3L,21.0L,38.0L,22
5759,Volante Technologies,Senior Business Analyst,9,22.3L,15.0L,28.0L,22
4916,Hinduja Global Solutions,Senior Business Analyst,2,3.3L,2.4L,4.3L,22
2169,Tavant Technologies,Senior Business Analyst,3,10.0L,8.0L,14.0L,22
3261,Jocata Financial Advisory and Technology,Senior Business Analyst,6,14.3L,9.0L,23.0L,22
4122,Persistent Systems,Senior Business Analyst,7,22.5L,15.0L,30.5L,22
4421,Axis Bank,Senior Business Analyst,3,14.4L,9.3L,22.0L,22
2329,Sabre,Senior Business Analyst,6,20.1L,13.8L,28.0L,22
2905,MResult Services,Senior Business Analyst,4,8.2L,5.5L,12.0L,21
3244,Franklin Templeton Investments,Senior Business Analyst,5,12.1L,6.8L,17.1L,21
4133,Allsec Technologies,Senior Business Analyst,3,6.1L,5.2L,7.5L,21
4626,MSC Technology India,Senior Business Analyst,3,6.7L,4.9L,8.7L,21
8416,Sopra Banking Software,Senior Business Analyst,6,16.3L,10.2L,25.0L,21
5397,Colgate Global Business Services,Senior Business Analyst,7,15.2L,13.2L,17.5L,21
3523,Azentio,Senior Business Analyst,3,13.4L,9.5L,17.0L,21
7533,Mastek,Senior Business Analyst,7,13.6L,9.7L,17.5L,20
3325,Springer Nature,Senior Business Analyst,6,17.0L,13.0L,21.9L,20
7848,Honeywell Technology Solutions,Senior Business Analyst,5,15.9L,10.0L,23.8L,20
5543,Thryve Digital,Senior Business Analyst,5,10.0L,7.1L,14.0L,20
6254,UBS,Senior Business Analyst,7,22.9L,10.8L,33.0L,20
1616,Zomato,Senior Business Analyst,2,15.7L,10.0L,22.0L,20
5932,Cybage,Senior Business Analyst,8,18.0L,15.5L,23.0L,20
4379,Larsen & Toubro Limited,Senior Business Analyst,4,11.3L,8.5L,14.5L,20
5971,Royal Bank of Scotland International,Senior Business Analyst,3,5.7L,4.1L,10.5L,19
5097,Indegene,Senior Business Analyst,2,14.0L,10.2L,21.0L,19
5650,Accion Labs,Senior Business Analyst,7,17.5L,11.0L,25.2L,19
2257,Infor Global Solution,Senior Business Analyst,6,16.8L,13.5L,20.0L,19
8565,Cygnet Infotech,Senior Business Analyst,4,8.6L,5.5L,11.0L,19
8572,Oracle Financial Services Software,Senior Business Analyst,6,14.2L,8.4L,24.1L,19
6917,ThoughtWorks,Senior Business Analyst,5,20.2L,15.8L,25.0L,19
1278,Citigroup,Senior Business Analyst,3,15.6L,9.2L,21.1L,19
2849,Unacademy,Senior Business Analyst,0,13.0L,4.0L,25.0L,18
5592,State Street Corporation,Senior Business Analyst,2,10.7L,3.5L,22.0L,18
7436,HCL Infosystems,Senior Business Analyst,3,9.0L,3.4L,15.0L,18
6983,Ocwen Financial Solutions,Senior Business Analyst,4,9.9L,5.9L,13.3L,18
7170,Vedantu,Senior Business Analyst,2,16.9L,6.6L,21.0L,18
5884,Infinite Computer Solutions,Senior Business Analyst,4,9.3L,6.0L,13.0L,17
3977,Clover Infotech,Senior Business Analyst,3,9.1L,6.5L,12.5L,17
1557,BYJU'S,Senior Business Analyst,0,9.4L,6.0L,17.0L,17
7265,Majesco,Senior Business Analyst,5,13.6L,9.0L,18.0L,17
5991,R Systems International,Senior Business Analyst,6,14.8L,9.9L,20.0L,17
8501,Accenture,Senior Data Analyst,3,9.9L,6.5L,14.6L,213
6459,Capgemini,Senior Data Analyst,1,4.7L,3.8L,7.1L,129
3846,TCS,Senior Data Analyst,3,6.0L,2.9L,11.2L,118
1105,Unilog Content Solutions ( P),Senior Data Analyst,3,3.2L,2.8L,3.8L,110
7697,Cognizant,Senior Data Analyst,2,6.2L,3.0L,15.2L,109
4343,eClerx,Senior Data Analyst,1,4.3L,3.0L,7.2L,90
3967,Concentrix Corporation,Senior Data Analyst,2,4.6L,3.1L,7.5L,85
1680,Ernst & Young,Senior Data Analyst,3,9.5L,6.0L,15.3L,71
8717,Flipkart,Senior Data Analyst,3,11.8L,6.0L,17.6L,66
7328,Wipro,Senior Data Analyst,2,7.1L,3.0L,11.7L,54
6097,Tech Mahindra,Senior Data Analyst,2,7.1L,4.0L,13.0L,53
5640,HCL Technologies,Senior Data Analyst,2,6.2L,3.0L,10.0L,53
1220,Ugam Solution,Senior Data Analyst,2,6.5L,3.5L,10.5L,52
6880,Cerner,Senior Data Analyst,2,6.1L,3.0L,15.4L,52
4824,Optum,Senior Data Analyst,5,16.2L,11.0L,21.5L,51
6901,InnovAccer,Senior Data Analyst,2,15.2L,9.3L,22.0L,50
2968,GlobalLogic,Senior Data Analyst,2,3.5L,2.5L,5.0L,46
4671,Infosys,Senior Data Analyst,3,9.9L,5.3L,15.0L,45
5317,Tiger Analytics,Senior Data Analyst,1,11.3L,9.0L,15.0L,45
1637,UnitedHealth,Senior Data Analyst,5,17.2L,8.0L,26.0L,44
2806,IBM,Senior Data Analyst,3,11.1L,6.3L,19.0L,43
4559,Cyient,Senior Data Analyst,4,3.6L,2.5L,5.3L,43
4699,Urjanet Energy Solutions,Senior Data Analyst,2,3.8L,3.1L,5.0L,42
4171,Deloitte,Senior Data Analyst,3,10.2L,6.2L,14.9L,39
5714,Epsilon,Senior Data Analyst,4,17.4L,10.0L,24.5L,38
7137,Morningstar,Senior Data Analyst,2,5.0L,3.8L,6.3L,37
5732,BCG,Senior Data Analyst,5,19.7L,16.0L,24.0L,36
8414,Dell,Senior Data Analyst,3,11.7L,9.0L,18.0L,33
7115,Walmart,Senior Data Analyst,4,29.0L,16.5L,40.0L,32
2005,Course5,Senior Data Analyst,3,7.4L,5.1L,12.9L,29
1024,IHS Markit,Senior Data Analyst,4,11.1L,6.1L,18.5L,28
5862,Bharti Airtel,Senior Data Analyst,3,16.6L,5.9L,22.0L,28
3606,L&T Infotech,Senior Data Analyst,3,12.2L,7.3L,19.0L,28
7888,Wells Fargo India,Senior Data Analyst,3,13.7L,7.8L,23.0L,28
5172,Axa XL,Senior Data Analyst,2,9.9L,6.1L,15.0L,28
1063,Zen3 Info Solutions,Senior Data Analyst,3,4.3L,3.4L,5.5L,27
5443,Honeywell Technology Solutions,Senior Data Analyst,4,14.6L,6.0L,22.0L,26
4401,LiquidHub,Senior Data Analyst,2,3.5L,2.5L,4.8L,25
2190,Proziod Analytics,Senior Data Analyst,3,4.9L,3.6L,6.3L,25
4858,LatentView Analytics,Senior Data Analyst,2,10.8L,9.2L,12.5L,25
6950,The Smart Cube,Senior Data Analyst,1,9.6L,7.0L,12.0L,23
6552,Indium Software,Senior Data Analyst,3,14.4L,10.0L,20.0L,23
3317,Citicorp,Senior Data Analyst,2,16.1L,11.5L,20.9L,23
8970,Harman Connected Services,Senior Data Analyst,4,10.0L,6.0L,19.0L,22
8306,Toluna,Senior Data Analyst,3,7.1L,5.4L,9.0L,22
5415,FE fundinfo,Senior Data Analyst,2,4.8L,4.0L,5.4L,21
3379,McKinsey & Company,Senior Data Analyst,3,20.7L,12.9L,27.2L,20
4641,Amazon,Senior Data Analyst,2,8.6L,3.9L,25.5L,19
1081,Ford Motor,Senior Data Analyst,2,15.0L,11.6L,18.9L,19
2153,Subex,Senior Data Analyst,1,8.0L,5.5L,11.0L,19
3447,Mindtree,Senior Data Analyst,2,8.0L,6.0L,12.6L,19
2787,S&P Global,Senior Data Analyst,3,8.0L,5.7L,11.0L,19
4479,EXL Service,Senior Data Analyst,2,7.6L,4.0L,12.0L,18
4358,DXC Technology,Senior Data Analyst,5,14.0L,6.9L,20.0L,18
8492,R1 RCM,Senior Data Analyst,3,5.4L,3.9L,6.9L,18
4027,KPMG,Senior Data Analyst,1,8.0L,4.2L,11.8L,18
2961,Zensar Technologies,Senior Data Analyst,4,6.3L,4.0L,10.6L,17
6135,Schneider Electric,Senior Data Analyst,2,9.6L,6.0L,17.0L,17
1093,WNS,Senior Data Analyst,2,6.1L,4.0L,8.0L,17
1411,Genpact,Senior Data Analyst,3,6.2L,4.3L,11.0L,17
2218,NTT DATA,Senior Data Analyst,2,7.2L,4.0L,11.5L,17
2895,Ganit Business Solutions,Senior Data Analyst,0,7.4L,5.2L,10.5L,17
6411,HSBC,Senior Data Analyst,2,11.9L,7.1L,16.0L,17
2308,Synchrony,Senior Data Analyst,2,7.5L,5.0L,12.5L,16
1297,Kantar,Senior Data Analyst,2,6.0L,4.5L,8.4L,16
3421,Unire Business Solutions,Senior Data Analyst,0,1.9L,1.4L,2.5L,16
4208,JP Morgan Chase,Senior Data Analyst,3,12.8L,7.4L,18.0L,16
3301,Dynata,Senior Data Analyst,4,8.8L,7.5L,10.3L,16
8877,PwC,Senior Data Analyst,3,11.1L,5.8L,20.0L,16
8777,Indegene,Senior Data Analyst,2,15.6L,11.4L,20.5L,15
3852,Lowe's,Senior Data Analyst,1,17.4L,10.4L,20.0L,15
2247,Ameriprise Financial,Senior Data Analyst,3,14.2L,10.0L,18.1L,15
8570,Barclays,Senior Data Analyst,3,13.8L,9.0L,19.4L,15
2476,Continental Automotive Components,Senior Data Analyst,2,2.9L,2.5L,3.5L,15
7033,Johnson & Johnson,Senior Data Analyst,4,12.0L,5.8L,20.0L,15
4336,JLL,Senior Data Analyst,3,6.3L,4.5L,13.0L,15
3427,Paytm,Senior Data Analyst,3,7.6L,5.0L,11.0L,15
4910,Oracle,Senior Data Analyst,3,7.7L,4.2L,15.0L,15
7892,HERE Technologies,Senior Data Analyst,4,5.1L,4.5L,6.5L,14
6583,CAMP Systems,Senior Data Analyst,4,5.1L,3.8L,6.2L,14
5259,Ericsson,Senior Data Analyst,2,8.9L,5.0L,13.0L,14
5472,Novartis Healthcare,Senior Data Analyst,2,12.8L,6.0L,19.0L,14
2329,E2OPEN,Senior Data Analyst,5,6.1L,4.9L,8.3L,14
8387,Bank of America,Senior Data Analyst,5,19.2L,11.7L,26.0L,14
6131,Nielsen,Senior Data Analyst,2,5.9L,3.1L,9.5L,14
2089,VASTA BIO-INFORMATICS,Senior Data Analyst,1,3.6L,3.3L,4.3L,14
4580,VeeTechnologies,Senior Data Analyst,2,3.0L,2.0L,4.0L,14
7439,Nailbiter Research,Senior Data Analyst,0,4.7L,4.2L,5.2L,14
5055,Hewlett-Packard Enterprise,Senior Data Analyst,3,8.8L,5.0L,17.7L,13
6547,S&P Global Market Intelligence,Senior Data Analyst,5,6.9L,4.9L,9.5L,13
6894,MakeMyTrip,Senior Data Analyst,4,7.5L,6.0L,9.0L,12
2874,Advantmed,Senior Data Analyst,3,7.1L,4.0L,12.0L,12
7732,Sutherland Global Services,Senior Data Analyst,2,6.6L,5.0L,8.5L,12
3909,Citibank,Senior Data Analyst,2,17.4L,16.0L,19.5L,12
8266,Mercer,Senior Data Analyst,1,4.6L,3.0L,6.5L,12
2127,American Express,Senior Data Analyst,2,14.7L,6.1L,25.0L,12
3740,Shadowfax Technologies,Senior Data Analyst,0,7.7L,6.3L,10.0L,11
5129,Resilinc,Senior Data Analyst,4,5.8L,5.0L,7.0L,11
2873,Bluemind Solutions,Senior Data Analyst,4,3.1L,2.8L,3.5L,11
8466,Denave,Senior Data Analyst,2,6.7L,3.5L,9.8L,11
8702,Cross-tab Marketing Services,Senior Data Analyst,0,5.0L,3.5L,7.0L,11
3783,Wissend,Senior Data Analyst,0,1.9L,1.4L,2.2L,11
1165,Infosys BPM,Senior Data Analyst,2,8.9L,3.8L,17.0L,11
5574,Adobe,Senior Data Analyst,5,14.5L,9.8L,20.0L,10
3044,BNY Mellon,Senior Data Analyst,3,10.4L,4.9L,13.5L,10
3959,Shell,Senior Data Analyst,4,12.4L,7.9L,20.0L,10
8834,Target,Senior Data Analyst,2,13.7L,9.9L,18.0L,10
4600,Dell EMC,Senior Data Analyst,3,9.4L,8.5L,11.1L,10
5638,comScore,Senior Data Analyst,5,19.7L,13.5L,24.0L,10
1405,Fedby Information Services,Senior Data Analyst,3,4.6L,4.0L,5.5L,10
3851,Experis IT,Senior Data Analyst,5,8.2L,6.6L,9.8L,10
8688,Phoenix American Sales Focus Solutions India,Senior Data Analyst,3,5.7L,5.0L,7.0L,10
7670,Collabera Technologies,Senior Data Analyst,2,8.7L,7.5L,10.5L,10
4624,SG Analytics,Senior Data Analyst,3,7.0L,6.0L,8.3L,10
4417,Mobikwik,Senior Data Analyst,3,13.9L,11.0L,17.0L,10
4174,Ecolab Digital Center,Senior Data Analyst,6,17.6L,11.2L,22.3L,10
4429,Oyo Rooms,Senior Data Analyst,4,11.4L,7.0L,16.0L,9
5522,Randstad,Senior Data Analyst,3,6.9L,2.5L,12.0L,9
5253,Clarivate Analytics,Senior Data Analyst,1,17.7L,10.0L,26.5L,9
8400,Rapido,Senior Data Analyst,2,14.9L,6.5L,20.4L,9
4517,Standard Chartered Bank,Senior Data Analyst,2,12.7L,5.0L,30.0L,9
2578,Equifax,Senior Data Analyst,3,6.2L,3.5L,8.5L,9
4573,Tesco,Senior Data Analyst,1,10.3L,5.8L,15.5L,9
7253,QL2 Software,Senior Data Analyst,4,3.4L,2.7L,5.5L,9
2554,Vodafone Idea,Senior Data Analyst,3,10.2L,5.2L,15.8L,9
2846,IQVIA,Senior Data Analyst,3,12.4L,8.0L,15.3L,9
5485,InSync Analytics,Senior Data Analyst,4,3.6L,3.1L,4.0L,9
4068,Landis+Gyr,Senior Data Analyst,5,15.0L,12.6L,17.5L,9
2815,DecisionTree Analytics & Services,Senior Data Analyst,3,12.8L,9.0L,17.0L,9
6072,Yodlee,Senior Data Analyst,4,7.4L,5.0L,9.0L,8
7667,Yash Technologies,Senior Data Analyst,7,5.8L,4.6L,7.5L,8
8439,Teleperformance,Senior Data Analyst,2,3.0L,2.0L,4.4L,8
1863,Wunderman,Senior Data Analyst,2,5.7L,4.5L,7.4L,8
5802,Xiaomi,Senior Data Analyst,5,9.5L,8.1L,10.5L,8
7827,Sentieo,Senior Data Analyst,2,5.9L,5.0L,7.0L,8
1596,Fidelity National Information Services,Senior Data Analyst,4,9.7L,6.5L,14.0L,8
4609,Thomson Reuters,Senior Data Analyst,3,10.5L,8.0L,15.0L,8
1159,Maersk,Senior Data Analyst,3,7.1L,5.0L,9.0L,8
1241,Home Credit Finance,Senior Data Analyst,3,7.6L,4.8L,10.0L,8
8814,Standard Chartered Global Business Services,Senior Data Analyst,4,18.5L,10.5L,27.4L,8
6111,Mr Cooper,Senior Data Analyst,2,13.0L,11.0L,15.0L,8
8388,Hudson's bay Company,Senior Data Analyst,3,15.7L,13.2L,18.9L,8
5385,S&P Capital IQ,Senior Data Analyst,3,6.4L,5.0L,9.2L,8
6368,Merkle Sokrati,Senior Data Analyst,1,9.1L,7.8L,12.3L,8
7373,Games24x7,Senior Data Analyst,5,17.9L,11.5L,23.1L,8
4583,Iris Software,Senior Data Analyst,5,14.4L,10.0L,20.0L,8
7974,Axis Bank,Senior Data Analyst,0,7.0L,5.0L,8.3L,8
7078,Mphasis,Senior Data Analyst,4,10.3L,9.0L,11.5L,8
3586,Whitehat jr,Senior Data Analyst,2,12.6L,8.0L,17.0L,8
1069,Blinkit,Senior Data Analyst,1,16.7L,13.5L,23.0L,8
3651,BUDDI.AI,Senior Data Analyst,3,4.2L,4.0L,5.0L,8
5685,Cartesian Consulting,Senior Data Analyst,1,7.5L,5.6L,11.0L,7
5674,Fuel Intelligence,Senior Data Analyst,2,4.5L,4.0L,5.0L,7
8174,General Mills,Senior Data Analyst,4,12.2L,9.0L,15.5L,7
1548,Cisco Systems,Senior Data Analyst,7,15.3L,13.2L,20.3L,7
2289,TIAA Global Business Services,Senior Data Analyst,6,15.5L,12.0L,21.5L,7
6765,Nailbiter,Senior Data Analyst,1,4.9L,4.5L,5.2L,7
3141,Aon,Senior Data Analyst,2,7.0L,3.8L,12.2L,7
5717,Aakash Institute,Senior Data Analyst,1,5.3L,3.8L,6.5L,7
3920,D2L Pharma Research Solutions,Senior Data Analyst,4,4.3L,3.4L,5.2L,7
1699,HARMAN,Senior Data Analyst,5,9.4L,6.5L,12.2L,7
7242,Vaco Binary Semantics,Senior Data Analyst,1,5.0L,3.5L,6.8L,7
1250,B3Intelligence,Senior Data Analyst,3,6.8L,4.0L,8.5L,7
8278,Sapient Corporation,Senior Data Analyst,3,12.1L,5.1L,20.8L,7
3960,Legato Health Technologies,Senior Data Analyst,6,14.3L,11.7L,21.0L,7
3800,Fidelity National Financial,Senior Data Analyst,2,4.9L,3.5L,6.2L,7
4574,Zomato,Senior Data Analyst,0,6.2L,5.5L,7.3L,7
6952,Symphony Retail AI,Senior Data Analyst,3,10.5L,10.0L,11.0L,7
2082,Myntra,Senior Data Analyst,5,11.9L,7.5L,23.0L,7
2160,KPI Partners,Senior Data Analyst,6,13.9L,11.0L,16.0L,7
6774,Reliance Retail,Senior Data Analyst,2,6.0L,4.5L,6.8L,7
8484,Publicis,Senior Data Analyst,3,14.9L,7.5L,20.0L,7
5173,TEKsystems,Senior Data Analyst,4,12.2L,10.0L,13.5L,7
5395,Mobile Premier League,Senior Data Analyst,1,25.2L,20.0L,28.0L,7
4791,Citigroup,Senior Data Analyst,2,17.0L,14.0L,21.0L,7
1331,LearningMate Solutions,Senior Data Analyst,4,9.1L,8.0L,10.8L,6
7095,Encore Capital Group,Senior Data Analyst,3,8.5L,7.5L,9.1L,6
8186,MResult Services,Senior Data Analyst,5,8.4L,7.0L,9.0L,6
7897,XL Catlin,Senior Data Analyst,3,14.9L,11.8L,17.4L,6
8636,Williams Lea Tag,Senior Data Analyst,5,6.6L,5.0L,9.0L,6
3326,Ninjacart,Senior Data Analyst,2,6.7L,6.0L,9.5L,6
6243,Bajaj Finserv,Senior Data Analyst,3,11.4L,9.4L,15.0L,6
7539,Collegedunia,Senior Data Analyst,1,4.3L,3.6L,5.0L,6
8127,Arthur J. Gallagher & Co,Senior Data Analyst,3,5.5L,5.0L,6.6L,6
4568,Athenahealth Technology,Senior Data Analyst,6,6.1L,5.6L,6.6L,6
8924,ADP Solutions,Senior Data Analyst,3,10.0L,4.5L,17.5L,6
2900,UST,Senior Data Analyst,5,10.4L,6.0L,12.0L,6
1261,L&T Infotech,Senior Data Engineer,2,11.0L,6.0L,17.0L,729
6075,Quantiphi Analytics Solutions,Senior Data Engineer,2,15.0L,9.5L,22.5L,137
3355,IBM,Senior Data Engineer,3,16.9L,10.0L,25.0L,112
2019,Maersk,Senior Data Engineer,5,21.1L,13.4L,31.0L,110
5441,Optum,Senior Data Engineer,5,16.5L,11.9L,21.0L,83
7401,Accenture,Senior Data Engineer,3,14.3L,9.5L,22.9L,83
7834,TCS,Senior Data Engineer,5,13.3L,7.9L,20.9L,65
5687,Wells Fargo India,Senior Data Engineer,7,21.9L,16.9L,31.5L,64
3153,Altimetrik,Senior Data Engineer,4,15.2L,9.5L,21.1L,56
3909,Coforge,Senior Data Engineer,4,15.3L,12.0L,18.6L,53
2794,Cognizant,Senior Data Engineer,4,15.1L,9.0L,23.0L,51
5391,Sapient Corporation,Senior Data Engineer,4,19.4L,15.0L,26.0L,51
3669,Fractal Analytics,Senior Data Engineer,4,21.8L,16.0L,30.0L,49
1037,Enquero,Senior Data Engineer,2,15.8L,11.5L,20.0L,46
3471,Walmart,Senior Data Engineer,6,35.7L,23.0L,49.3L,44
5772,Shell,Senior Data Engineer,3,23.3L,11.2L,36.0L,42
4234,UnitedHealth,Senior Data Engineer,5,16.1L,12.2L,25.0L,42
8386,Wipro,Senior Data Engineer,4,13.1L,8.0L,20.0L,40
4606,Larsen & Toubro Limited,Senior Data Engineer,2,10.4L,6.5L,16.0L,40
6867,Mindtree,Senior Data Engineer,2,6.7L,5.8L,10.0L,36
2016,Capgemini,Senior Data Engineer,3,16.4L,6.8L,23.5L,35
1684,Teradata,Senior Data Engineer,5,13.5L,10.0L,18.6L,34
5605,Visa,Senior Data Engineer,3,27.3L,20.0L,32.6L,31
6184,Ernst & Young,Senior Data Engineer,3,18.5L,12.0L,28.5L,30
3549,Concentrix Corporation,Senior Data Engineer,2,5.4L,4.2L,6.6L,28
3017,HCL Technologies,Senior Data Engineer,4,18.0L,5.0L,30.0L,28
2181,Lowe's,Senior Data Engineer,5,18.9L,16.0L,25.0L,26
3474,Indium Software,Senior Data Engineer,3,15.5L,9.0L,22.0L,26
5978,Target,Senior Data Engineer,3,22.1L,15.5L,30.0L,25
8174,Tech Mahindra,Senior Data Engineer,4,14.3L,7.3L,27.0L,23
4095,Deloitte,Senior Data Engineer,4,16.3L,10.5L,22.0L,23
4217,Amazon,Senior Data Engineer,6,32.0L,18.0L,45.0L,19
3206,DXC Technology,Senior Data Engineer,5,14.7L,9.6L,24.2L,19
8759,Tiger Analytics,Senior Data Engineer,5,22.1L,15.0L,28.0L,19
3293,GE Healthcare,Senior Data Engineer,5,17.8L,13.0L,24.8L,18
1825,Morgan Stanley,Senior Data Engineer,6,28.8L,20.0L,36.5L,18
5572,EPAM Systems,Senior Data Engineer,4,23.1L,17.0L,27.0L,18
8874,NIIT Technologies,Senior Data Engineer,2,15.0L,14.5L,15.5L,17
2545,GE,Senior Data Engineer,4,19.3L,14.0L,25.2L,16
8403,JLL,Senior Data Engineer,4,23.5L,16.5L,33.0L,16
3114,Nagarro,Senior Data Engineer,3,24.1L,17.0L,32.0L,16
3013,NIKE,Senior Data Engineer,5,31.0L,27.0L,35.0L,16
6927,Micron Technology,Senior Data Engineer,5,19.8L,12.5L,29.0L,16
4999,Nokia,Senior Data Engineer,5,17.5L,13.5L,25.0L,14
6789,UST,Senior Data Engineer,4,14.5L,9.3L,21.0L,14
3935,Wavicle Data Solutions,Senior Data Engineer,0,11.8L,9.0L,15.6L,14
5076,KPI Partners,Senior Data Engineer,4,17.1L,13.5L,22.3L,14
8837,Happiest Minds Technologies,Senior Data Engineer,5,16.3L,9.5L,24.5L,13
2545,BCG,Senior Data Engineer,4,24.7L,20.1L,28.0L,13
3755,Infosys,Senior Data Engineer,2,8.7L,4.5L,15.5L,13
4023,JP Morgan Chase,Senior Data Engineer,5,22.3L,11.9L,28.0L,13
4444,Philips,Senior Data Engineer,2,17.5L,15.0L,22.0L,12
2606,Innova Solutions,Senior Data Engineer,7,27.1L,16.0L,40.0L,12
8804,Legato Health Technologies,Senior Data Engineer,4,16.9L,11.0L,22.0L,12
5376,DUNNHUMBY IT SERVICES INDIA,Senior Data Engineer,2,13.2L,11.0L,18.0L,12
7827,Ecolab Digital Center,Senior Data Engineer,5,17.1L,12.3L,19.8L,12
5349,Bosch Global Software Technologies,Senior Data Engineer,2,13.8L,9.0L,22.0L,11
7599,Maersk Line,Senior Data Engineer,4,21.5L,16.2L,29.5L,11
6436,Commonwealth Bank of Australia,Senior Data Engineer,7,31.7L,20.8L,43.1L,11
8010,Cisco Systems,Senior Data Engineer,10,25.9L,22.0L,32.0L,11
8941,Tredence,Senior Data Engineer,1,10.7L,8.0L,15.0L,11
6194,Oracle,Senior Data Engineer,5,29.2L,15.0L,51.0L,11
6057,Lenovo,Senior Data Engineer,4,13.5L,12.0L,17.0L,10
5326,Photon Interactive,Senior Data Engineer,4,8.1L,6.4L,10.0L,10
4934,Intersoft Data Labs,Senior Data Engineer,3,29.2L,20.0L,37.8L,10
5877,Lumiq.ai,Senior Data Engineer,3,14.0L,10.0L,17.5L,10
3237,Dell,Senior Data Engineer,2,13.2L,9.2L,18.0L,10
8163,SpringML,Senior Data Engineer,2,11.1L,8.5L,16.5L,10
7150,Verizon,Senior Data Engineer,4,17.6L,10.0L,30.2L,9
4732,Dunnhumby,Senior Data Engineer,2,13.6L,10.0L,18.0L,9
5197,Hewlett-Packard Enterprise,Senior Data Engineer,3,24.9L,9.0L,35.0L,9
8559,Bajaj Finserv,Senior Data Engineer,1,14.4L,9.7L,19.0L,9
6218,Ab Inbev,Senior Data Engineer,8,26.4L,20.0L,35.0L,9
2133,Collabera Technologies,Senior Data Engineer,4,15.1L,11.0L,25.0L,9
3370,GE Aviation,Senior Data Engineer,8,18.7L,16.0L,24.0L,9
4061,News Technology Services,Senior Data Engineer,5,17.4L,12.3L,21.0L,9
4700,ZS,Senior Data Engineer,2,18.6L,15.0L,23.0L,9
